,imdb_id,title,mpaa_rating,runtime,genre,star_rating
7922,tt10250750,Xiong chu mo: Yuan shi shi dai,NaN,90 min,"Animation, Adventure, Fantasy",5.9
7923,tt6952604,Arrhythmia,NaN,116 min,Drama,7.5
7924,tt6820184,"Madame Mills, une voisine si parfaite",NaN,88 min,Comedy,3.7
7925,tt1411956,Sold,PG-13,94 min,Drama,6.8
7926,tt5779650,The Adventures of Panda Warrior,PG,78 min,"Animation, Action, Adventure",1.9
7927,tt4299300,Mein Blind Date mit dem Leben,NaN,111 min,"Biography, Comedy, Drama",7.1
7928,tt2924442,The Pact II,Not Rated,96 min,"Horror, Mystery, Thriller",4.4
7929,tt7127700,Bonehill Road,Not Rated,106 min,"Horror, Thriller",6.2
7930,tt6332764,Los olvidados,Unrated,98 min,Horror,4.9
7931,tt1828970,Evidence,Not Rated,94 min,"Crime, Mystery, Thriller",5.4
7932,tt2166616,Wrong Cops,Not Rated,83 min,"Comedy, Crime",6.0
7933,tt3904278,We Go On,Not Rated,90 min,"Drama, Horror, Thriller",5.8
7934,tt1937340,Beyond Paradise,PG,101 min,"Drama, Romance",5.8
7935,tt2125698,Joven y Alocada,Not Rated,96 min,"Comedy, Drama",6.1
7936,tt4865022,The Clinic,NaN,90 min,"Action, Horror, Mystery",6.3
7937,tt3499458,The Walking Deceased,R,88 min,"Comedy, Horror",3.5
7938,tt2458412,NSFW: Not Safe for Work,Not Rated,70 min,"Comedy, Drama, Romance",4.8
7939,tt6389316,Bao lie wu sheng,Not Rated,120 min,"Crime, Drama, Mystery",7.2
7940,tt1570559,Burning Man,Not Rated,110 min,"Drama, Romance",6.4
7941,tt1893195,A.C.A.B. - All Cops Are Bastards,NaN,112 min,"Action, Crime, Drama",6.6
7942,tt4648824,Get Naked!,NaN,93 min,"Comedy, Drama, War",5.3
7943,tt10443172,Spider-Man: Identity,NaN,48 min,Action,6.6
7944,tt3218580,Alléluia,Unrated,93 min,"Crime, Horror, Romance",6.2
7945,tt3238502,Zombie Spring Breakers,Not Rated,95 min,"Action, Comedy, Horror",3.2
7946,tt3169740,The Falls: Testament of Love,Not Rated,123 min,"Drama, Romance",6.5
7947,tt2375763,What Other Couples Do,Not Rated,87 min,"Comedy, Drama, Romance",5.5
7948,tt1823125,Greetings from Tim Buckley,Not Rated,99 min,Drama,6.1
7949,tt2215077,Half of a Yellow Sun,R,111 min,"Drama, Romance",6.1
7950,tt8119680,Dark Figure of Crime,Not Rated,110 min,"Crime, Drama",6.6
7951,tt3195238,Dead Don't Die in Dallas,Not Rated,91 min,"Action, Comedy, Horror",4.5
7952,tt2638662,Summer Camp,R,81 min,Horror,5.0
7953,tt5247704,Back to Burgundy,NaN,113 min,"Comedy, Drama",6.9
7954,tt6702308,The Riot Act,PG-13,101 min,Thriller,4.4
7955,tt3586118,Hero of the Underworld,TV-MA,90 min,Drama,4.0
7956,tt9799992,Sang Krasue,NaN,122 min,"Drama, Horror, Romance",6.5
7957,tt10734928,The Legend of Hei,NaN,101 min,"Animation, Action, Adventure",7.1
7958,tt11135936,High & Low The Worst,NaN,125 min,Action,8.9
7959,tt7115980,When Jeff Tried to Save the World,Not Rated,93 min,"Comedy, Drama",5.6
7960,tt5213744,Jessica Darling's It List,Not Rated,79 min,Family,5.4
7961,tt1859607,Kath & Kimderella,Not Rated,86 min,Comedy,5.3
